Time (s),Pressure (hPa)
-0.566066208,1012.261429
0.438772792,1012.264404
1.443593792,1012.267303
2.448435792,1012.274475
3.453257792,1012.278214
3.805517792,1012.282791
4.877348792,1012.285385
5.949140792,1012.289963
7.020935792,1012.290268
8.092688792,1012.289963
9.164442792,1012.287292
10.23618179,1012.285995
11.30797579,1012.282639
