"Time (s)","Pressure (hPa)"
-5.375654167E-1,1.010368118E3
4.942235833E-1,1.010373917E3
1.525995583E0,1.010379715E3
2.557786583E0,1.010407104E3
3.589589583E0,1.010418854E3
3.783301583E0,1.010420914E3
4.848424583E0,1.010423737E3
5.913513583E0,1.010423813E3
6.978560583E0,1.010423813E3
8.043621583E0,1.010418472E3
9.108717583E0,1.010413666E3
1.017377858E1,1.010406494E3
1.123891058E1,1.010400848E3
