Record Length,2500,Points,-2.5000002E-3,-2.79999995,
Sample Interval,2.0000000E-6,s,-2.4980002E-3,-2.79999995,
Trigger Point,1.2500002E3,Samples,-2.4960001E-3,-3.20000005,
,,,-2.4940001E-3,-3.20000005,
,,,-2.4920001E-3,-3.60000014,
,,,-2.4900001E-3,-3.60000014,
Source,CH1,,-2.4880001E-3,-3.60000014,
Vertical Units,Volts,,-2.4860001E-3,-4.00000000,
Vertical Scale,10.0000001,,-2.4840003E-3,-4.40000010,
Vertical Offset,0,,-2.4820003E-3,-4.40000010,
Horizontal Units,s,,-2.4800003E-3,-4.80000019,
Horizontal Scale,499.999998738E-6,,-2.4780002E-3,-4.80000019,
Pt Fmt,Y,,-2.4760002E-3,-4.80000019,
Yzero,0.0,,-2.4740002E-3,-5.20000029,
Probe Atten,10.0000000,,-2.4720002E-3,-5.59999990,
,,,-2.4700002E-3,-5.59999990,
Note,TBS 1102B - 11:15:14 AM   3/30/2026,,-2.4680002E-3,-6.00000000,
,,,-2.4660002E-3,-6.00000000,
,,,-2.4640001E-3,-6.00000000,
,,,-2.4620001E-3,-6.40000010,
,,,-2.4600001E-3,-6.40000010,
,,,-2.4580001E-3,-6.80000019,
,,,-2.4560001E-3,-6.80000019,
,,,-2.4540003E-3,-7.20000029,
,,,-2.4520003E-3,-7.20000029,
,,,-2.4500003E-3,-7.599999905,
,,,-2.4480002E-3,-7.599999905,
,,,-2.4460002E-3,-8.000000000,
,,,-2.4440002E-3,-8.000000000,
,,,-2.4420002E-3,-8.400000572,
,,,-2.4400002E-3,-8.800000191,
,,,-2.4380002E-3,-8.800000191,
,,,-2.4360002E-3,-9.199999809,
,,,-2.4340001E-3,-9.199999809,
,,,-2.4320001E-3,-9.199999809,
,,,-2.4300001E-3,-9.600000381,
,,,-2.4280001E-3,-9.600000381,
,,,-2.4260001E-3,-10.0000000,
,,,-2.4240001E-3,-10.0000000,
,,,-2.4220003E-3,-10.0000000,
,,,-2.4200003E-3,-10.0000000,
,,,-2.4180003E-3,-10.4000006,
,,,-2.4160002E-3,-10.8000002,
,,,-2.4140002E-3,-10.8000002,
,,,-2.4120002E-3,-10.8000002,
,,,-2.4100002E-3,-10.8000002,
,,,-2.4080002E-3,-11.1999998,
,,,-2.4060002E-3,-11.1999998,
,,,-2.4040001E-3,-11.6000004,
,,,-2.4020001E-3,-11.6000004,
,,,-2.4000001E-3,-11.6000004,
