"Time (s)","Pressure (hPa)"
-5.288748333E-1,1.011116562E3
5.038101667E-1,1.011111374E3
1.536504167E0,1.011106186E3
2.569176167E0,1.011103210E3
3.601852167E0,1.011103210E3
3.794289167E0,1.011104584E3
4.860275167E0,1.011108017E3
5.926265167E0,1.011108017E3
6.992313167E0,1.011109009E3
8.058338167E0,1.011109009E3
9.124368167E0,1.011105423E3
1.019042217E1,1.011104660E3
1.125644417E1,1.011103592E3
